"text","label"
"israel’s war gaza live death toll passes 37000 ‘barbaric attack’ israel’s raid nuseirat refugee camp caused outrage eu calling “a massacre” death toll risen 274 700 others injured gaza’s health ministry says doctors describe scenes inside alaqsa hospital central gaza “complete bloodbath” one medic saying inside hospital “looks like slaughterhouse” doctors without borders says alaqsa nasser hospitals “overwhelmed” israeli forces said rescued four captives held attack nuseirat refugee camp amid criticism large number civilian causalities one israeli officer died deadly raid hamas’s military spokesman says israel killed captives nuseirat operation without specifying circumstances many killed least 37084 people killed 84494 injured israel’s war gaza since october 7 revised death toll israel hamas’s attacks stands 1139 dozens people still held captive gaza"," ""pro-palestinian"""
"jerusalem ap — proportion palestinian women children killed israelhamas war appears declined sharply associated press analysis gaza health ministry data found trend coincides israel’s changing battlefield tactics contradicts ministry’s public statements trend significant death rate women children best available proxy civilian casualties one 21st century’s destructive conflicts october war began 60 month april 40 yet shift went unnoticed months un much media hamaslinked health ministry made effort set record straight israel faces heavy international criticism unprecedented levels civilian casualties gaza questions whether done enough prevent 8monthold war shows sign ending two recent airstrikes gaza killed dozens civilians ap analysis highlights facts overlooked could help inform public debate said gabriel epstein research assistant washington institute near east policy also studied health ministry data declining impact women children well drop overall death rate “definitely due change way idf acting right now” epstein said using acronym israeli army “that’s easy conclusion don’t think it’s made enough” omar shakir israel palestine director human rights watch said group always found health ministry’s numbers “generally reliable” direct access hospitals morgues whatever reason fewer women child killed shakir said grand scheme trend pales compared war’s overall devastation “the death toll may undercount” added many bodies still rubble war made difficult health ministry comprehensively gather data"," ""center"""
"idf says strike hit hamas command room housed container gaza city un school army doesn’t say many gunmen hit palestinians say 15 dead including least 3 civilians idf identifies 17 terror operatives killed thursday strike unrwa school emanuel fabian follow toi staff 7 june 2024 1011 pm youths inspect damage storage container hit israeli strike asmaa school run un relief works agency palestine refugees unrwa gaza citys shati refugee camp june 7 2024 idf says hamas cell operating container omar alqattaa afp israel defense forces said friday carried airstrike hamas command center set united nations school gaza city’s shati neighborhood killing several members cell strike comes day idf hit another un school housing said compound used dozens terror operatives idf friday also released identities another eight hamas palestinian islamic jihad operatives among killed strike bringing number named terror operatives far 17"," ""Pro-Israel"""
"israels military said special forces officer killed exchanges fire militants emerging cover residential blocks knew 100 palestinians killed though many fighters civilians hamas armed wing said sunday three israeli hostages including one us citizenship killed raid provided names released video appeared corpses censor bars obscuring faces hamas assertion saturday hostages died rejected blatant lie israeli military"," ""center"""
"update sunday gazas health ministry said 274 palestinians killed 210 reported saturday 698 injured israeli special force commandos stormed densely populated alnuseirat camp rescue four hostages held since october hamas militants sixtyfour dead children 57 women hamasrun gaza government media office said sunday"," ""center"""
"gazas health ministry said another 798 palestinians injured israeli raid one 4yearold tawfiq abu youssef critical condition visited hospital sunday father raed boy first thought died moved hand slightly arms relative rushing hospital captured video went viral social media"," ""center"""
"israeli military said statement forces continuing operations east albureij deir albalah killing number palestinian gunmen destroying militant infrastructure israel sent forces rafah may called mission wipe hamas last intact combat units eight months war israeli forces bombed much rest gaza rubble advancing fierce resistance militants embedded crowded cities builtup camps"," ""center"""
"israeli tank forces since seized gazas entire border strip egypt running rafah mediterranean coast invaded many districts city 280000 residents prompting around one million displaced people sheltering rafah flee elsewhere"," ""center"""
"hamas accused israel committing complex war crime bloody attack nuseirat refugee camp freed four captives claims three captives one us citizen killed israel denied accusation"," ""pro-palestinian"""
"united nations said palestinian territory brought brink famine enough aid reaching civilians airdrops one least efficient ways delivering assistance aid trucks prevented crossing gaza"," ""pro-palestinian"""
"army chief staff 20112015 2014 war gaza 2000 palestinians killed"," ""pro-palestinian"""
"qassam brigades hamas’s armed wing claimed three captives killed including us citizen israeli raid gaza’s nuseirat refugee camp four captives freed israeli military spokesman lieutenantcolonel peter lerner denied claim hamas propaganda"," ""pro-palestinian"""
"served harvard’s president six months claudine gay resigned position january year following appearance congressional testimony rising antisemitism college campus december 2023"," ""pro-palestinian"""
"israel’s operation free four captives held hamas killed 270 palestinians injured around 700 others gaza’s nuseirat refugee camp what’s praised success israel condemned several countries organisations including un eu aid agencies"," ""pro-palestinian"""
"arnon zmora’s widow eulogizes ‘a sweet man full laughter sensitivity compassion’ tearful tribute uncle rescued hostage says families ‘unbreakable alliance’"," ""Pro-Israel"""
"mevasseret zion june 9 2024 yonatan sindelflash90 thousands mourners among family members hostages held gaza flocked jerusalem sunday attend funeral arnon zmora police counterterror officer killed saturday operation rescued four captives central gaza"," ""Pro-Israel"""
"part mission rescue almog meir jan andrey kozlov shlomi ziv noa argamani subsequently renamed operation arnon honor even arrival funeral procession jerusalem’s mount herzl military cemetery israelis lined street outside zmora family’s home nearby town mevasseret zion waving israeli flags tribute"," ""Pro-Israel"""
"‘your favorite movie child ‘robin hood’ second grade dressed paratrooper"," ""Pro-Israel"""
"“arnon knew heard lot fought october 7 kibbutzim surrounding gaza participated countless activities operations forever hidden public eye” shabtai said “you always understood mission strove contact acted courage reserved outstanding people believe deeply felt magnitude hour"," ""Pro-Israel"""
"abdallah aljamal news contributor exhamas spokesman killed troops hostage rescue nuseirat holding almog meir jan andrey kozlov shlomi ziv captive"," ""Pro-Israel"""
"abdallah aljamal previously spokesman hamasrun labor ministry gaza contributed several news outlets past amid war gaza numerous articles aljamal published palestine chronicle outlet including hostages almog meir jan andrey kozlov shlomi ziv allegedly held captive home fourth hostage noa argamani rescued nearby building saturday’s operation"," ""Pro-Israel"""
"“this proof hamas terrorist organization uses civilian population human shield” military said amid raid aljamals’ home yamam commander ch insp arnon zmora fatally wounded hamas terrorists’ gunfire zmora died upon arriving hospital israel rescue mission later named “operation arnon” honor"," ""Pro-Israel"""
"one israel’s worst attacks kills least 274 palestinians nuseirat refugee camp leaves hospitals struggling cope"," ""pro-palestinian"""
"several countries international organisations condemned israeli killing least 274 palestinians operation free four israeli captives central gaza’s nuseirat refugee camp"," ""pro-palestinian"""
"authorities gaza strip sunday said least 698 others injured “an unprecedented brutal attack” critical condition hospitals struggle cope flow wounded dead bodies"," ""pro-palestinian"""
"reporting inside alaqsa martyrs hospital central gaza’s deir elbalah al jazeera’s hind khoudary sunday said civil defence crews still finding dead wounded palestinians rubble aftermath nuseirat attack air strikes target areas across enclave"," ""pro-palestinian"""
